Identifiant,target,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee
15928,1,2013,"0,378082192",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,6486,2,1980,0,4,83070
17151,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1920,V,   .,
8501,1,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4393,4,,0,   .,6029
18659,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1510,1,2011,0,4,10387
18030,1,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,960,2,1960,0,4,42218
11721,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1993,V,   .,
10352,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900,2,1950,0.6,3,83154
7036,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1876,3,1980,0,   .,83137
4607,0,2013,"0,41369863",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,2,1960,0,   .,62108
502,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,591,2,1960,0,   .,21231
19725,0,2015,"0,334246575",0,V,N,3,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,2720,4,1974,0.6,8,75118
13325,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,1980,0,   .,83070
15867,0,2013,"0,161643836",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3350,2,1986,0.3,5,62826
15994,0,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,4,1987,V,   .,
15969,1,2016,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3570,3,1980,0,>=10,94071
5842,0,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2210,2,1970,0,3,63113
11886,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,680,4,1960,0,   .,75117
18816,1,2013,"0,665753425",1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,5950,2,1992,0,3,30351
14074,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,885,2,1960,0,   .,51454
13577,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,670,2,1960,0,   .,51454
7584,0,2014,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4000,3,,0,   .,93015
6168,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000,2,1980,0,   .,63113
14349,0,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1260,2,1960,0,3,34192
17360,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1000,2,1990,0.3,3,66182
19922,0,2016,"0,579234973",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500,2,1950,0.6,1,9301
16428,0,2014,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,5346,1,2005,0,5,59183
7607,0,2014,1,0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,400,2,1925,0.6,4,26362
4536,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,850,2,1960,0,   .,14118
10707,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820,2,1988,0,   .,68062
9744,0,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,520,2,1960,0,   .,13206
7699,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1447,2,1980,0,   .,63113
15896,0,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1170,4,1919,0.3,6,75115
2490,1,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1427,2,1940,0,6,13202
2671,1,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3000,2,1991,0.6,3,30133
1322,0,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4480,2,1980,0,   .,68297
11545,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,920,2,1960,0,   .,13205
10686,0,2012,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,450,2,1900,0,4,63113
8476,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,390,4,1960,0,   .,6159
15816,1,2013,1,0,V,N,2,O,2,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,19195,2,1970,0,6,60057
1903,1,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1250,2,1980,0,   .,34324
6296,0,2012,"0,163934426",0,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,1300,2,1900,0.3,3,9029
2799,1,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100,2,1980,0,   .,68278
14504,0,2012,"0,581967213",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700,2,1980,0,   .,34301
15941,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4172,1,1989,0,3,74012
14284,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,2,1960,0,   .,30011
13446,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,4,1960,0,   .,6088
12758,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1731,2,1980,0,   .,83047
16735,1,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4045,2,2010,0,5,59527
6458,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,230,1,1980,0,   .,73054
10098,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,1,1960,0,   .,13032
11296,0,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1502,2,1988,0,   .,34154
10770,0,2014,"0,832876712",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340,3,1960,0,   .,94052
17520,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3270,4,1980,0,7,6014
2056,1,2013,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,600,4,1920,0,5,6159
2586,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2400,1,1980,0,   .,5061
4296,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1780,2,1990,0.6,4,64430
13271,0,2013,"0,915068493",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,2,1988,0,   .,83129
70,1,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1960,0,   .,13206
6897,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,2,1980,0,   .,13206
10973,0,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,3,,0,   .,92063
4187,1,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,643,3,1960,0,   .,92025
11901,1,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900,2,1980,0,   .,38071
15222,0,2016,"0,99726776",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,794,2,1900,0,2,95219
11119,0,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850,1,1950,0,5,13004
2593,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,1,1980,0,   .,5177
10177,0,2012,"0,24863388",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6880,2,1988,0,   .,83099
11743,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,9709,3,1960,0,   .,59368
16045,0,2012,"0,24863388",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,5500,2,1980,0,6,83009
10116,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,882,2,1950,0,5,83137
3805,1,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1414,2,1980,0,   .,14437
19077,0,2012,"0,836065574",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1441,1,1961,0,4,10387
15833,1,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600,4,1970,0.3,3,6157
16085,1,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2250,1,1980,0,3,63075
13470,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,800,1,1960,0.6,4,35238
4878,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4228,2,1970,0,4,29105
13093,0,2014,"0,665753425",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250,1,1988,0,   .,74010
792,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,400,2,,0,   .,25462
7480,1,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,5500,4,2003,0.3,4,6155
13622,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250,3,1980,0,   .,94068
19090,0,2015,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3600,2,2008,0,3,59367
7301,0,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,1,650,2,1958,0,4,68224
10781,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,385,2,1960,0,   .,38517
760,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1701,1,1960,0,   .,27299
11415,0,2013,"0,452054795",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320,2,1980,0,   .,11262
13130,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,3,1960,0,   .,94081
19561,1,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,650,1,1990,0.6,2,33009
9960,1,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4464,2,1980,0,   .,26220
7601,0,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1064,2,1998,0.6,4,66136
15282,0,2012,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,964,4,1900,0,4,75113
17796,0,2015,"0,983561644",1,V,N,1,O,1,N,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300,1,2005,0.3,3,74290
7677,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,2,1980,0,   .,83144
10147,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,2,1960,0,   .,69034
106,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250,4,1960,0,   .,75104
7873,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820,2,1960,0,   .,64122
5558,1,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100,2,1980,0,   .,68278
18463,1,2014,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,12582,3,1970,0,8,92023
18695,0,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2000,4,1870,0,6,75112
16147,0,2015,1,1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,pi,2,1260,4,1890,0,6,75107
9798,1,2013,"0,271232877",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1200,2,1940,0,7,13201
6261,0,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,280,2,1955,0.6,5,95582
267,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1445,2,1970,0,4,64422
15429,0,2015,"0,997260274",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1556,1,1994,0,4,86041
6964,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,942,2,1980,0,   .,13202
15368,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,800,2,1965,0.3,3,57663
5078,0,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1950,V,   .,
6908,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2791,2,1960,0,   .,13001
12975,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,2,1960,0,   .,59295
3901,0,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,11380,4,1980,0,7,6104
780,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850,1,1960,0,4,27229
5435,0,2014,"0,545205479",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,216,1,1988,0,   .,73137
11689,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250,4,1960,0,   .,6083
4622,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,1,1988,0,   .,86041
11097,1,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850,2,1980,0,3,83115
9008,1,2014,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2973,4,1850,0,6,75106
11144,0,2012,"0,163934426",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,1,915,2,1960,0,   .,13207
11987,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,800,1,1900,0,4,35288
9799,1,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,318,4,1900,0,4,6004
2619,1,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,663,2,1960,0,   .,64256
940,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1572,1,1960,0,   .,87085
7516,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,180,2,1960,0,   .,38416
8923,0,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1203,4,2002,0,3,6104
9406,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,864,2,,0,   .,42218
4631,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,833,2,1960,0,   .,14220
1063,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2625,1,1980,0,   .,74010
18903,0,2016,"0,99726776",1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1050,2,2012,0,4,38126
5865,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2140,1,1980,0,   .,87085
15562,0,2012,1,1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,460,3,1950,0,3,94069
4142,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1302,1,1988,0,   .,74081
8379,0,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,3,1960,0,   .,2A004
18315,0,2016,"0,99726776",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,6700,1,2011,0,7,74010
3644,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,325,3,1988,0,   .,93064
8750,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,824,4,1960,0,   .,6088
7038,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1876,3,1980,0,   .,83137
17752,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1050,4,1960,0,4,6083
17052,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,650,2,1950,0,5,51108
13257,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,322,2,1980,0,   .,83118
15873,0,2013,1,1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,14120,3,1980,0,8,33063
7136,0,2012,"0,74863388",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1032,2,1960,0,   .,69259
18926,0,2016,"0,99726776",0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,2039,1,1970,0,4,13001
5348,1,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,4,1980,0,   .,6012
18008,0,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300,3,1950,0.3,3,93048
1431,1,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3757,2,1980,0,   .,34902
13525,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,1,1988,0,   .,5085
19002,1,2014,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,6000,3,1970,0,4,94052
5159,0,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,900,2,1999,0.6,3,13213
16524,0,2012,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,8377,3,1970,0,8,92049
4214,0,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,450,2,1930,0,4,13206
6953,0,2012,"0,330601093",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,394,4,,0,   .,75113
19010,0,2016,"0,99726776",1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2450,2,1958,0,4,95585
14543,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,705,3,1960,0,   .,92026
12617,0,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,420,2,1935,0,3,51454
5588,0,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,270,1,1900,0,3,28085
16835,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,660,3,2000,0,3,59599
8518,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1200,4,1960,0,   .,6029
9020,0,2014,"0,493150685",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,4,,0,   .,75114
16408,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3213,1,2010,0,2,13117
18355,1,2012,"0,75136612",1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,2205,3,1895,0,7,94067
7553,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320,2,1960,0,   .,13206
13800,0,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1912,1,2008,0,6,73176
18518,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1171,1,2011,0.3,3,44069
6878,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530,2,1980,0,   .,38185
13907,1,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1176,3,1960,0,   .,94067
2371,0,2013,"0,580821918",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,1,1960,0,   .,54547
16411,0,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,1057,2,2002,0,3,68362
18264,0,2012,"0,803278689",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,1,400,1,1940,0,4,19272
15989,0,2012,1,1,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,2,2060,3,1900,0,2,94028
10833,0,2016,"0,912568306",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,1,645,2,1965,0.6,4,64102
15602,0,2014,"0,747945205",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,426,2,1965,0.3,3,78092
19257,0,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,650,2,1900,0,4,13203
1290,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250,1,1988,0,   .,88383
15731,1,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3100,3,1970,0.3,6,2A004
3297,0,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,750,2,1990,0.3,5,62826
16958,0,2013,"0,164383562",0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,275,1,1900,0,3,58194
1533,0,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2073,1,1990,0.3,4,74058
8391,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570,1,1960,0,   .,33063
14258,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1680,2,1988,0,   .,77053
16342,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2350,2,1990,0,2,80688
4842,0,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4200,2,1967,0,6,38421
4446,0,2015,"0,950684932",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1280,2,1960,0,   .,51454
6887,1,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1535,3,1960,0,   .,92012
6525,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,1988,0,   .,66136
